hindi,gsheet_goog_translate,append_prompt,gsheet_prompt_translate_with_prompt,eng_prompt_translate,chat_gpt_append,chat_gpt_pre,chat_gpt_translit_split_a,chat_gpt_translit_split_b,chat_gpt_translit_split_c,chat_gpt_fin
नाना,Grandfather,rajasthan village name: नाना,Rajasthan Village Name: Nana,Nana,नाना - Nana,नाना , Nana,,,Nana
नानी,Grandmother,rajasthan village name: नानी,Rajasthan Village Name: Nani,Nani,नानी - Nani,नानी , Nani,,,Nani
नानूवाला,Nanuwala,rajasthan village name: नानूवाला,Rajasthan Village Name: Nanuwala,Nanuwala,नानूवाला - Nanuwala,नानूवाला , Nanuwala,,,Nanuwala
नानूवाली बावड़ी,Nanuwali Bawdi,rajasthan village name: नानूवाली बावड़ी,Rajasthan Village Name: Nanuwali Bawdi,Nanuwali Bawdi,नानूवाली बावड़ी - Nanuwali Baawdi,,,,,Nanuwali Baawdi
नानेर,Naner,rajasthan village name: नानेर,Rajasthan Village Name: Naner,Naner,नानेर - Naner,,,,,Naner
नानोर,Nanor,rajasthan village name: नानोर,Rajasthan Village Name: Nanor,Nanor,नानोर - Nanor,,,,,Nanor
नान्द,Nand,rajasthan village name: नान्द,Rajasthan Village Name: Nand,Nand,नान्द - Nand,,,,,Nand
नान्दडा,Nandada,rajasthan village name: नान्दडा,Rajasthan Village Name: Nandada,Nandada,नान्दडा - Nandda,,,,,Nandda
नान्दडाकलां,Nanddakalan,rajasthan village name: नान्दडाकलां,Rajasthan Village Name: Nandakalan,Nandakalan,नान्दडाकलां - Nanddakalan,,,,,Nanddakalan
नान्दला,Nandla,rajasthan village name: नान्दला,Rajasthan Village Name: Nandla,Nandla,नान्दला - Nandla,,,,,Nandla
नान्दसी,Nandasi,rajasthan village name: नान्दसी,Rajasthan Village Name: Nandasi,Nandasi,नान्दसी - Nandsi,,,,,Nandsi
नान्दिया जाजड़ा,Nandia Jajra,rajasthan village name: नान्दिया जाजड़ा,Rajasthan Village Name: Nandia Jazra,Nandia Jazra,नान्दिया जाजड़ा - Nandiya Jajda,,,,,Nandiya Jajda
नान्द‍ोली मेड़तिया,Nandoli Medatia,rajasthan village name: नान्द‍ोली मेड़तिया,Rajasthan Village Name: Nandioli Medatia,Nandioli Medatia,नान्द‍ोली मेड़तिया - Nandoli Medetiya,,,,,Nandoli Medetiya
नापला,Measure,rajasthan village name: नापला,Rajasthan Village Name: Napla,Napla,नापला - Napla,,,,,Napla
नापावाली,Sapwali,rajasthan village name: नापावाली,Rajasthan Village Name: Napawali,Napawali,नापावाली - Napawali,,,,,Napawali
नापासर,Sapasar,rajasthan village name: नापासर,Rajasthan Village Name: Napasar,Napasar,नापासर - Napasar,,,,,Napasar
नाम,Name,rajasthan village name: नाम,Rajasthan Village Name: Name,Name,नाम - Naam,,,,,Naam
नामनेर,Namner,rajasthan village name: नामनेर,Rajasthan Village Name: Namner,Namner,नामनेर - Naamner,,,,,Naamner
नामरी,Namri,rajasthan village name: नामरी,Rajasthan Village Name: Namri,Namri,नामरी - Naamri,,,,,Naamri
नायन,Nayan,rajasthan village name: नायन,Rajasthan Village Name: Nayan,Nayan,नायन - Nayan,,,,,Nayan
नायपुर,Nayapur,rajasthan village name: नायपुर,Rajasthan Village Name: Nayapur,Nayapur,नायपुर - Nayapur,,,,,Nayapur
नायला,Nayla,rajasthan village name: नायला,Rajasthan Village Name: Nayla,Nayla,नायला - Nayla,,,,,Nayla
नारणावास,Narnawas,rajasthan village name: नारणावास,Rajasthan Village Name: Narnawas,Narnawas,नारणावास - Naranaavas,,,,,Naranaavas
नारनाडी,Narnadi,rajasthan village name: नारनाडी,Rajasthan Village Name: Narnadi,Narnadi,नारनाडी - Naranaadi,,,,,Naranaadi
नारलाई,Narlai,rajasthan village name: नारलाई,Rajasthan Village Name: Narlai,Narlai,नारलाई - Naralai,,,,,Naralai
नारवा,Narava,rajasthan village name: नारवा,Rajasthan Village Name: Narva,Narva,नारवा - Narva,,,,,Narva
नारवां कलां,Narawan Kalan,rajasthan village name: नारवां कलां,Rajasthan Village Name: Narawan Kalan,Narawan Kalan,नारवां कलां - Narvaan Kalan,,,,,Narvaan Kalan
नाराणी,Narani,rajasthan village name: नाराणी,Rajasthan Village Name: Narani,Narani,नाराणी - Naraani,,,,,Naraani
नारादरा,Naradara,rajasthan village name: नारादरा,Rajasthan Village Name: Naradara,Naradara,नारादरा - Naraadara,,,,,Naraadara
नारायण खेडा,Narayan Kheda,rajasthan village name: नारायण खेडा,Rajasthan Village Name: Narayan Kheda,Narayan Kheda,नारायण खेडा - Narayan Kheda,,,,,Narayan Kheda
नारायण खेड़ा,Narayan Kheda,rajasthan village name: नारायण खेड़ा,Rajasthan Village Name: Narayan Kheda,Narayan Kheda,नारायण खेड़ा - Narayan Kheda,,,,,Narayan Kheda
नारायणखेडा,Narayanakheda,rajasthan village name: नारायणखेडा,Rajasthan Village Name: Narayanakheda,Narayanakheda,नारायणखेडा - Narayan Kheda,,,,,Narayan Kheda
नारायणगढ,Narayangarh,rajasthan village name: नारायणगढ,Rajasthan Village Name: Narayangarh,Narayangarh,नारायणगढ - Narayangarh,,,,,Narayangarh
नारायणपुर,Narayanpur,rajasthan village name: नारायणपुर,Rajasthan Village Name: Narayanpur,Narayanpur,नारायणपुर - Narayanpur,,,,,Narayanpur
नारायणपुरा,Narayanpura,rajasthan village name: नारायणपुरा,Rajasthan Village Name: Narayanpura,Narayanpura,नारायणपुरा - Narayanpura,,,,,Narayanpura
नारायणा,Naraina,rajasthan village name: नारायणा,Rajasthan Village Name: Narayana,Narayana,नारायणा - Narayana,,,,,Narayana
नारायनपुर टटवाडा,Narayanpur Tatwada,rajasthan village name: नारायनपुर टटवाडा,Rajasthan Village Name: Narayanpur Tatwada,Narayanpur Tatwada,नारायनपुर टटवाडा - Narayanpur Tatwada,,,,,Narayanpur Tatwada
नारी,Woman,rajasthan village name: नारी,Rajasthan Village Name: Woman,Woman,नारी - Nari,,,,,Nari
नारेडा,Nareeda,rajasthan village name: नारेडा,Rajasthan Village Name: Nareeda,Nareeda,नारेडा - Nareda,,,,,Nareda
नारेड़ा,Nareeda,rajasthan village name: नारेड़ा,Rajasthan Village Name: Nareeda,Nareeda,नारेड़ा - Nareda,,,,,Nareda
नारेला,Slogan,rajasthan village name: नारेला,Rajasthan Village Name: Narela,Narela,नारेला - Narela,,,,,Narela
नारेली,Slogan,rajasthan village name: नारेली,Rajasthan Village Name: Nareli,Nareli,नारेली - Nareli,,,,,Nareli
नारेहडा,Slogan,rajasthan village name: नारेहडा,Rajasthan Village Name: Slogan,Slogan,नारेहडा - Narehda,,,,,Narehda
नारोली,Naroli,rajasthan village name: नारोली,Rajasthan Village Name: Naroli,Naroli,नारोली - Naroli,,,,,Naroli
नारोली चोड,Naroli Chod,rajasthan village name: नारोली चोड,Rajasthan Village Name: Naroli Chod,Naroli Chod,नारोली चोड - Naroli Chod,,,,,Naroli Chod
नारौली,Narauli,rajasthan village name: नारौली,Rajasthan Village Name: Narauli,Narauli,नारौली - Naurauli,,,,,Naurauli
नाल,Tumble,rajasthan village name: नाल,Rajasthan Village Name: Palace,Palace,नाल - Naal,,,,,Naal
नाल बड़ी,Placenta,rajasthan village name: नाल बड़ी,Rajasthan Village Name: Naal Badi,Naal Badi,नाल बड़ी - Naal Badi,,,,,Naal Badi
नालअलकार,Racist,rajasthan village name: नालअलकार,Rajasthan Village Name: Nalakar,Nalakar,नालअलकार - Naalalkaar,,,,,Naalalkaar
नालपाड़ा,Nalpada,rajasthan village name: नालपाड़ा,Rajasthan Village Name: Nalpada,Nalpada,नालपाड़ा - Naalpada,,,,,Naalpada
नालपुर,Nalpur,rajasthan village name: नालपुर,Rajasthan Village Name: Nalpur,Nalpur,नालपुर - Naalpur,,,,,Naalpur
नालोट,Nalot,rajasthan village name: नालोट,Rajasthan Village Name: Nalot,Nalot,नालोट - Nalot,,,,,Nalot
नावली,Naval,rajasthan village name: नावली,Rajasthan Village Name: Navali,Navali,नावली - Navali,,,,,Navali
नासिरदा,Nasirda,rajasthan village name: नासिरदा,Rajasthan Village Name: Nasirda,Nasirda,नासिरदा - Nasirada,,,,,Nasirada
नाहरखाेरा,Naharkhera,rajasthan village name: नाहरखाेरा,Rajasthan Village Name: Naharkhera,Naharkhera,नाहरखाेरा - Naharkhora,,,,,Naharkhora
नाहरखाेहरा,Naharkhehra,rajasthan village name: नाहरखाेहरा,Rajasthan Village Name: Naharkhehra,Naharkhehra,नाहरखाेहरा - Naharkhohra,,,,,Naharkhohra
नाहरगढ,Nahargarh,rajasthan village name: नाहरगढ,Rajasthan Village Name: Nahargarh,Nahargarh,नाहरगढ - Nahargarh,,,,,Nahargarh
नाहरगढ+,Nahargarh+,rajasthan village name: नाहरगढ+,Rajasthan Village Name: Nahargarh+,Nahargarh+,नाहरगढ+ - Nahargarh+,,,,,Nahargarh+
नाहरघट्टा,Naharghta,rajasthan village name: नाहरघट्टा,Rajasthan Village Name: Naharghatta,Naharghatta,नाहरघट्टा - Naharghatta,,,,,Naharghatta
नाहरपुरा,Naharpura,rajasthan village name: नाहरपुरा,Rajasthan Village Name: Naharpura,Naharpura,नाहरपुरा - Naharpura,,,,,Naharpura
नाहरसिंहनगर,Nahar Singh Nagar,rajasthan village name: नाहरसिंहनगर,Rajasthan Village Name: Nahar Singh Nagar,Nahar Singh Nagar,नाहरसिंहनगर - Naharsinghnagar,,,,,Naharsinghnagar
नाहरी,Nahari,rajasthan village name: नाहरी,Rajasthan Village Name: Nahari,Nahari,नाहरी - Nahari,,,,,Nahari
नाहरोली,Nahroli,rajasthan village name: नाहरोली,Rajasthan Village Name: Nahroli,Nahroli,नाहरोली - Naharoli,,,,,Naharoli
नाहली,Nahli,rajasthan village name: नाहली,Rajasthan Village Name: Nahli,Nahli,नाहली - Nahali,,,,,Nahali
नाहिड़ा,Nahida,rajasthan village name: नाहिड़ा,Rajasthan Village Name: Nahida,Nahida,नाहिड़ा - Nahirra,,,,,Nahirra
नाहिला,Nahila,rajasthan village name: नाहिला,Rajasthan Village Name: Nahila,Nahila,नाहिला - Nahila,,,,,Nahila
निकुम्भ,Nikumbh,rajasthan village name: निकुम्भ,Rajasthan Village Name: Nikumbh,Nikumbh,निकुम्भ - Nikumbh,,,,,Nikumbh
निगोही,Nigohi,rajasthan village name: निगोही,Rajasthan Village Name: Nigohi,Nigohi,निगोही - Nigohi,,,,,Nigohi
निचला घंटाला,Lower hour,rajasthan village name: निचला घंटाला,Rajasthan Village Name: Lower Clock,Lower Clock,निचला घंटाला - Nichla Ghantala,,,,,Nichla Ghantala
निचलागढ,Lowering,rajasthan village name: निचलागढ,Rajasthan Village Name: Nalgadh,Nalgadh,निचलागढ - Nichlagarh,,,,,Nichlagarh
निचली सुबरी,Lower subri,rajasthan village name: निचली सुबरी,Rajasthan Village Name: Lower Subri,Lower Subri,निचली सुबरी - Nichli Subari,,,,,Nichli Subari
निजामनगर,Nizamnagar,rajasthan village name: निजामनगर,Rajasthan Village Name: Nizamnagar,Nizamnagar,निजामनगर - Nizamnagar,,,,,Nizamnagar
निजामपुरा,Nizampura,rajasthan village name: निजामपुरा,Rajasthan Village Name: Nizampura,Nizampura,निजामपुरा - Nizampura,,,,,Nizampura
निझर्रना,Nijhrna,rajasthan village name: निझर्रना,Rajasthan Village Name: Nijhrana,Nijhrana,निझर्रना - Nijharrna,,,,,Nijharrna
निठाउवा,Nithuwa,rajasthan village name: निठाउवा,Rajasthan Village Name: Nithauwa,Nithauwa,निठाउवा - Nithauva,,,,,Nithauva
निठार,Nithar,rajasthan village name: निठार,Rajasthan Village Name: Nithar,Nithar,निठार - Nithar,,,,,Nithar
निठारा लेट का बास,Nithara Late Bass,rajasthan village name: निठारा लेट का बास,Rajasthan Village Name: Nithara Late Ka Bass,Nithara Late Ka Bass,निठारा लेट का बास - Nithara Let Ka Baas,,,,,Nithara Let Ka Baas
नितौडा,Nitoda,rajasthan village name: नितौडा,Rajasthan Village Name: Nitoda,Nitoda,नितौडा - Nitouda,,,,,Nitouda
निधारा,Nidhara,rajasthan village name: निधारा,Rajasthan Village Name: Nidhara,Nidhara,निधारा - Nidhara,,,,,Nidhara
निधेरा कलां,Nidhera Kalan,rajasthan village name: निधेरा कलां,Rajasthan Village Name: Nidhera Kalan,Nidhera Kalan,निधेरा कलां - Nidhera Kalan,,,,,Nidhera Kalan
निनाण,Ninana,rajasthan village name: निनाण,Rajasthan Village Name: Ninan,Ninan,निनाण - Ninaan,,,,,Ninaan
निन‍ोर,Ninor,rajasthan village name: निन‍ोर,Rajasthan Village Name: Ninor,Ninor,निन‍ोर - Ninor,,,,,Ninor
निपानियां,Nipanis,rajasthan village name: निपानियां,Rajasthan Village Name: Nipanians,Nipanians,निपानियां - Nipaniyaan,,,,,Nipaniyaan
निंबावास,Nimbawas,rajasthan village name: निंबावास,Rajasthan Village Name: Nimbwas,Nimbwas,निंबावास - Nimbavas,,,,,Nimbavas
निभेरा,Nibhera,rajasthan village name: निभेरा,Rajasthan Village Name: Nibhera,Nibhera,निभेरा - Nibhera,,,,,Nibhera
निमेडा,Nimida,rajasthan village name: निमेडा,Rajasthan Village Name: Nimeda,Nimeda,निमेडा - Nimeda,,,,,Nimeda
